parent_id,name,end
23,その他,1
24,すべて,1
24,ネックレス,1
24,ブレスレット,1
24,バングル/リストバンド,1
24,リング,1
24,ピアス(片耳用),1
24,ピアス(両耳用),1
24,イヤリング,1
24,アンクレット,1
24,ブローチ/コサージュ,1
24,チャーム,1
24,その他,1
25,すべて,1
25,ヘアゴム/シュシュ,1
25,ヘアバンド/カチューシャ,1
25,ヘアピン,1
25,その他,1
26,すべて,1
26,長財布,1
26,折り財布,1
26,コインケース/小銭入れ,1
26,名刺入れ/定期入れ,1
26,キーケース,1
26,キーホルダー,1
26,手袋/アームカバー,1
26,ハンカチ,1
26,ベルト,1
26,マフラー/ショール,1
26,ストール/スヌード,1
26,バンダナ/スカーフ,1
26,ネックウォーマー,1
26,サスペンダー,1
26,サングラス/メガネ,1
26,モバイルケース/カバー,1
26,手帳,1
26,イヤマフラー,1
26,傘,1
26,レインコート/ポンチョ,1
26,ミラー,1
26,タバコグッズ,1
26,その他,1
27,すべて,1
27,腕時計(アナログ),1
27,腕時計(デジタル),1
27,ラバーベルト,1
27,レザーベルト,1
27,金属ベルト,1
27,その他,1
28,すべて,1
28,前髪ウィッグ,1
28,ロングストレート,1
28,ロングカール,1
28,ショートストレート,1
28,ショートカール,1
28,その他,1
29,すべて,1
29,浴衣,1
29,着物,1
29,振袖,1
29,長襦袢/半襦袢,1
29,水着セパレート,1
29,水着ワンピース,1
29,水着スポーツ用,1
29,その他,1
30,すべて,1
30,スカートスーツ上下,1
30,パンツスーツ上下,1
30,ドレス,1
30,パーティーバッグ,1
30,シューズ,1
30,ウェディング,1
30,その他,1
31,すべて,1
31,トップス,1
31,アウター,1
31,インナー,1
31,ワンピース,1
31,パンツ/スパッツ,1
31,スカート,1
31,パジャマ,1
31,授乳服,1
31,その他,1
32,すべて,1
32,コスプレ,1
32,下着,1
32,その他,1
33,すべて,1
33,Tシャツ/カットソー(半袖/袖なし),1
33,Tシャツ/カットソー(七分/長袖),1
33,シャツ,1
33,ポロシャツ,1
33,タンクトップ,1
